Especie Id;Version;Reino;Division;Clase;Orden;Familia;Genero;Nombre Cientifico;Nombre Comun;Origen;Estado Conservacion;Avance Total
644;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes australis;Sapo espinudo austral;Nativa;Casi amenazada (NT);50
34;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes barrioi;Sapo de pecho espinoso de Barrio;Nativa;En Peligro (EN), Rara;50
5691;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes cantillanensis;Rana de pecho espinoso de Cantillana;Nativa;En Peligro (EN);42
5392;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes gargola;rana del Catedral;Nativa;En Peligro (EN);40
645;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes hugoi;Sapo de Hugo;Nativa;Vulnerable (VU);54
2747;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes igneus;Rana de pecho espinoso de Tolhuaca;Nativa;Vulnerable (VU);59
646;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes kaweshkari;Rana kaweshkar de pecho espinoso;Nativa;Datos Insuficientes (DD);48
58;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes laevis;Sapo;Nativa;En peligro crítico (CR);48
35;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes montanus;Sapo de monte;Nativa;En Peligro (EN), Rara;55
2813;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes monticola;;Nativa;Casi amenazada (NT);47
36;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes nodosus;Sapo de pecho espinoso;Nativa;Casi amenazada (NT);62
2820;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes norae;Rana de pecho espinoso de Oncol;Nativa;En peligro crítico (CR);50
5393;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes pehuenche;Sapo de pecho espinoso;Nativa;En peligro crítico (CR);56
37;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes tumultuosus;Sapo de pecho espinoso de la Parva;Nativa;En Peligro (EN), Rara;61
3034;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes valdiviensis;Rana de pecho espinoso de Cordillera Pelada;Nativa;En Peligro (EN);56
38;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes vanzolinii;Sapo de pecho espinoso de Vanzolini.;Nativa;En Peligro (EN), Rara;57
39;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes verrucosus;Sapo de pecho espinoso con verrugas;Nativa;En Peligro (EN);59
40;1;Animalia;Chordata;Amphibia;Anura;Cycloramphidae;Alsodes;Alsodes vittatus;Sapo de pecho espinoso de Malleco;Nativa;En peligro crítico (CR);51
2827;1;Animalia;Chordata;Amphibia;Anura;Ceratophrydae;Atelognathus;Atelognathus ceii;Sapo;Nativa;Datos Insuficientes (DD);50
41;1;Animalia;Chordata;Amphibia;Anura;Ceratophrydae;Atelognathus;Atelognathus grandisonae;Sapo de Puerto Edén;Nativa;Datos Insuficientes (DD);52
2815;1;Animalia;Chordata;Amphibia;Anura;Ceratophrydae;Atelognathus;Atelognathus salai;Rana de Jeinimeni;Nativa;Datos Insuficientes (DD);53
647;1;Animalia;Chordata;Amphibia;Anura;Ceratophrydae;Batrachyla;Batrachyla antartandica;Rana jaspeada;Nativa;Preocupación menor (LC);50
648;1;Animalia;Chordata;Amphibia;Anura;Ceratophrydae;Batrachyla;Batrachyla leptopus;Rana moteada;Nativa;Preocupación menor (LC);51
649;1;Animalia;Chordata;Amphibia;Anura;Ceratophrydae;Batrachyla;Batrachyla nibaldoi;Rana de antifaz de Bahía Murta;Nativa;Casi amenazada (NT);52
650;1;Animalia;Chordata;Amphibia;Anura;Ceratophrydae;Batrachyla;Batrachyla taeniata;Rana de ceja;Nativa;;59
43;1;Animalia;Chordata;Amphibia;Anura;Bufonidae;Bufo;Bufo papillosus;Sapo de papilas;Nativa;Rara;46
45;1;Animalia;Chordata;Amphibia;Anura;Calyptocephalellidae;Calyptocephalella;Calyptocephalella gayi;Rana chilena;Nativa;Vulnerable (VU);38
3353;1;Animalia;Chordata;Amphibia;Anura;Calyptocephalellidae;Calyptocephalella;Calyptocephalella gayi;;Nativa;;3
